Meaning,,Jurchen,,,,,,Manchu,,,,,,Xibe,,,,,,Hezhe,,,,,,Kur-Urmì,,,,,,Bikin Nanai,,,,,,Najkhin Nanai,,,,,,Ulch,,,,,,Orok,,,,,,Udihe,,,,,,Oroch,,,,,,Solon,,,,,,Oroqen,,,,,,Khamnigan Evenki,,,,,,Stony Tunguska Evenki (Southern),,,,,,"Strelka-Chunya Evenki (Krasnoyarsk krai, Evenki municipal district; Southern)",,,,,,"Tutonchany Evenki (Krasnoyarsk krai, Evenki municipal district; Northern)",,,,,,"Chiringda Evenki (Krasnoyarsk krai, Evenki municipal district; Northern)",,,,,,"Teteya Evenki (Irkutsk oblast, Katangskiy district; Northern)",,,,,,Negidal,,,,,,Even,,,,,
,root,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basìc orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References
,futa,futa,futa,futa,,,Kane 1989: 256,futa,futa,futa,,,Norman 1978: 98,fəta,fəta,fɘthɑ,,,Li 1986: 152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ušiːləŋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,usiileng,ušiːləŋ,uʃiːləŋ,,,Dorji 1998: 740,,,,,,,,,,,,,,,,,,,,us'iːkoːn,uśiːkoːn,,rope-DIM,,,uhiː,uhiː,,,,,uhiː,uhiː,,,,,,,,,,usī,usiː,usiː,,,Cincius 1982: 285,usi,usi,usi,,,Novikova 1980: 217
,iːdur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,iidur,iːdur,iːdur,,,Dorji 1998: 317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bogoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bogoli,bogoli,boɣolɪ,,,Tsumagari 1992: 97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,xəəkə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,xəəkə,/xə:.kə/,,,Czerwinski's fielddata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hèrkè-vūn,hərkə-wuːn,hərkəwʉːn,,tie-NMLZ,Vasilevich 1958: 511,,,,,,,,hərkə,hərkə,,,,,,,,,,,hərkəwun,hərkəwun,,,,,,,,,,,,,,,
,huːna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huːna,huːna,,,,,,,,,,,,,,,
shade / shadow (n.),hańiən,,,,,,,,,,,,,,,,,,,xaniɛn,hańiən,xaɲɛn,,,Xuejuan 2005: 206,han'an,hańan,χaɲan,soul,,Sunik 1958: 199,fan'a(n),fańa(n),faɲa(n),soul,,Sem 1976: 195,panân,pańan,paɲan,,,Onenko 1980: 427,pan'a(n),pańa(n),paɲa(n),,,Sunik 1985: 223,pana(n),pana(n),pɑnɑ(n),soul,,Ikegami 1997: 57,xaṇa,hańa,xaɲa,soul,,Girfanova 2001: 328,han'a(n),hańa(n),χaɲa(n),,,"Avrorin, Lebedeva 1978: 243",,,,,,,,,,,,,,,,,,,hanân,hańan,haɲan,,,Vasilevich 1958: 470,,hańan,haɲan,reflection; silhouette,,,,haŋńan,haŋɲan,,,,,haŋńan,haŋɲan,,,,,hańan,haɲan,,,,,,,,,,ḥín'ān,hińaːn,ħiˁɲaˁːn,soul,,Novikova 1980: 224
,həlmə,helme,həlmə,xəlmə,,,Kane 1989: 139,helmen,həlmən,xəlmən,reflection,,Norman 1978: 128,xəlmən,xəlmən,xɘlmɘn,,,Li 1986: 155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,šiŋuŋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,singung,šiŋuŋ,ʃiŋuŋ,,,Dorji 1998: 619,,,,,,,simŋuun,simŋuːn,ʃimŋuːn,,,Tsumagari 1992: 98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simňun,simŋun,simŋun,darkness,,Cincius 1982: 266,,,,,,
,ərudən,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ərudən,ərudən,ərudən,,,Hu 1986: 205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ńeːŋan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ńeːŋan,ɲeːŋan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird (n.),gasha,,,,,,,gasha,gasha,ɢasχa,,large bird,Norman 1978: 102,,,,,,,gaskə,gaskə,kɑskhə,,,Zhang et al. 1989: 122,,,,,,,,,,,,,,,,,,,,,,,,,gasa,gasa,ɢɑsɑ,,,Ikegami 1997: 64,,,,,,,gasa,gasa,gasa,duck; waterfowl,,"Avrorin, Lebedeva 1978: 172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,čiːndə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,čīndè,čiːndə,ʧiːndə,,,Sunik 1985: 257,,,,,,,cind'a,cindˀa,ʦinda̰,,,Girfanova 2001: 351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ńicə(n),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n'icè(n),ńicə(n),ɲiʦə(n),warbler,,Sem 1976: 177,nièčè̄n ~ nīčièn,niəčəːn ~ niːčiən,niəʧəːn ~ niːʧiən,,,Onenko 1980: 294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,čeokon,,,,,,,,,,,,,,,,,,,,,,,,,čeokon,čeokon,ʧeoqon,,,Sunik 1958: 203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,səčə(hə),seče(he),səčə(hə),səʧə(xə),,small bird,Kane 1989: 220,,,,,,,ʨiʨkə,čičkə,ʨitʂkhɘ,,,Li 1986: 146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dəgi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deḡi,dəgi,dəɣi,,,Dorji 1998: 118,dəji,dəji,dəji,,,Hu 1986: 192,dəgii,dəgiː,dəɣiː,,,Tsumagari 1992: 90,dèg ~ dègi,dəg ~ dəgi,dəɣ ~ dəɣɨ,,,Vasilevich 1958: 132,,dəgiː,dəγiː,,,,,,,,,,,,,,,,,,,,,,dèɣī,dəgiː,dəɣiː,duck,,Cincius 1982: 212,dèɣi ~ dèǰi,degi ~ deji,deɣi ~ deji,,,Novikova 1980: 172
,čipičaː,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,čipičaː,t͡ʃipit͡ʃaː,,,,,śipkaːkaːn,śipkaːkaːn,,bird-DIM,,,čipkaːn,t͡ʃipkaːn,,,,,čipiča,t͡ʃipit͡ʃa,,,,,,,,,,,,,,,
salt (n.),dacu (<Mong. Cincius (ed.) 1975: 186),datsu,dacu,daʦu,,,Kane 1989: 340,dabsun,dabsun,dabsun,,,Norman 1978: 51,davsun,davsun,dɑvsun,,,Li 1986: 152,dausən,dausən,tauzən,,,Zhang et al. 1989: 137,daosu̇n,daosụn,daosʊn,,,Sunik 1958: 171,daoso(n) ~ daosu̇(n),daoso(n),daoso(n),,,Sem 1976: 152,daoson,daoson,daoswon,,,Onenko 1980: 139,davsú(n) ~ daúsú(n),dawso(n) ~ daoso(n),dawso(n) ~ daoso(n),,,Sunik 1985: 188,dausu(n),dausu(n),dɑuʃu(n),,,Ikegami 1997: 43,,,,,,,,,,,,,dɵɵsong,dͻːsụŋ,dͻːsʊŋ,,,Dorji 1998: 137,,,,,,,dawsun,dawsun,dawsʊn,,,Tsumagari 1992: 98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,daksụ(n),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daksú(n),daksụ(n),daqso(n),,,"Avrorin, Lebedeva 1978: 177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,taḳ,tak,taˁq,,,Novikova 1980: 209
,sˀai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sˀai,sˀai,sa̰i,sea,,Girfanova 2001: 260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,turukə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,turukè,turukə,tʉrʉkə,,,Vasilevich 1958: 404,,turukə,turukə,,,,,turukə,turukɵ,,,,,turukə,turukə,,,,,turukə,turukə,,,,,,,,,,,,,,,
,tos (<Yak. Cincius (ed.) 1977: 222),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tos,tos,tos,,from Yakut,Cincius 1982: 277,,,,,,
,katagan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,katagan,katagan,kataɣan,,,Hu 1986: 197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small,nuːči,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nūči,nuːči,nwuːʧi,,,Onenko 1980: 296,n'ūči,ńuːči,ɲuːʧi,,,Sunik 1985: 219,nuuči,nuːči,nuːʧi,,,Ikegami 1997: 141,ŋicaˀ,ŋicˀa,ŋiʦa̰,,,"Girfanova 2001: 236, 231",ňīči,ŋiːči,ŋiːʧi,,,"Avrorin, Lebedeva 1978: 212",nis-hung,niš-huŋ,niʃxuŋ,,small-ADJ,Dorji 1998: 492,niʧukun,ničukun,niʧuxun,,,Hu 1986: 205,niiči,niːči,ɲiːči,,,Tsumagari 1992: 98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n'itkūn,ńitkuːn,ɲitkuːn,,,Cincius 1982: 251,,,,,,
,komču,,,,,,,,,,,,,,,,,,,kɔmʨu,komču,qhɔmʨhu,,,Zhang et al. 1989: 133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kôčukèn,kočuken,koʧuken,,,Novikova 1980: 186
,mači,,,,,,,,,,,,,,,,,,,maʨi,mači,maʨhi,,,Zhang et al. 1989: 133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,niskun,,,,,,,,,,,,,,,,,,,,,,,,,niskun,niskun,niskun,,,Sunik 1958: 185,isk'i,iski,iskji,,,Sem 1976: 160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,okụkana,,,,,,,,,,,,,,,,,,,,,,,,,oku̇kana,okụkana,oqʊqana,,,Sunik 1958: 186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sətujən,,,,,,,,,,,,,,,,,,,,,,,,,sètujèn,sətujən,sətujən,,,Sunik 1958: 191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aš(h)a,aš(h)a,aš(h)a,aʃ(x)a,,,Kane 1989: 371,ajida / ajige / asiha,aʤida / aʤigə / asiha,aʤida / aʤigə / asjiχa,,,"Norman 1978: 10, 20",aʥig,aʤig,ɑʥig,,,Li 1986: 162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,huju,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,huûkūn ~ hunûkūn,hujukuːn ~ huńukuːn,hʉjʉkʉːn ~ hʉɲʉkʉːn,,,"Vasilevich 1958: 502, 497",,hujukuːn,hujukuːn,,small-DIM,,,hulukuːn,hulukuːn,,small-DIM,,,hujukuːn,hujukuːn,,small-DIM,,,hujukuːn,hujukuːn,,small-DIM,,,,,,,,,,,,,
wide,darmi,,,,,,,,,,,,,,,,,,,darmi,darmi,tarmi,,,Zhang et al. 1989: 144,daramì,daramị,daramjɪ,,,Sunik 1958: 171,daram'í ~ darm'í,daramị ~ darmị,daramje ~ darmje,,,Sem 1976: 152,darami,darami,daramji,,,Onenko 1980: 140,daramí,darame,daramje,,,Sunik 1985: 189,darami,darami,dɑrɑmi,,,Ikegami 1997: 42,,,,,,,dāmi,daːmi,daːmji,,,"Avrorin, Lebedeva 1978: 177",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,agbi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,agbi,agbi,agbji,,,Girfanova 2001: 22,,,,,,,,,,,,,,,,,,,,,,,,,albin,albin,albin,,,Vasilevich 1958: 24,,albin,albin,,,,,albiːn,albiːn,,,,,,,,,,,albin,albin,,,,,,,,,,ḳalbín,kalbin,qaˁlbiˁn,,,Novikova 1980: 182
,gole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,golí,gole,gole,,,Sunik 1985: 185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hugdi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hugdi,hugdi,xugdi,,,Sunik 1985: 253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,o[n]co,o[n]tso,o[n]co,o[n]ʦo,,,Kane 1989: 169,onco,ončo,onʧo,generous,,Norman 1978: 224,ontʂw,ončo,ontʂho,,,Li 1986: 162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,əŋmə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,éŋmé,əŋmə,əŋmə,,about round objects,Kormushin 1998: 315,,,,,,,engnge,əŋŋə,əŋːə,,,Dorji 1998: 177,əŋŋəl,əŋŋəl,əŋːəl,,,Hu 1986: 205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,awam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avam,awam,awam,,,Cincius 1982: 186,,,,,,
star (n.),ušiha,ušiha,ušiha,uʃixa,,,Kane 1989: 136,usiha,usiha,usjiχa,acorn,,Norman 1978: 300,uɕχa,usha,usxɑ,,,Li 1986: 143,uɕiaktə,učiaktə,uɕiakhthə,,,Zhang et al. 1989: 139,osìakta,osịakta,osæqta,,,Sunik 1958: 187,os'íḳta ~ os'íḥta,osịkta ~ osịhta,osjekta ~ osjexta,,< Ud. / Evk. ?,Sem 1976: 178,hosakta ~ hosikta,hosakta ~ hosekta,χwosaqta ~ χwosekta,,,Onenko 1980: 474,hosta ~ hústa,hosta,xosta,,,Sunik 1985: 252,,,,,,,wahikta,wajkta,wajkta,,,Girfanova 2001: 72,hosikta,hosikta,χɔsjikta,,,"Avrorin, Lebedeva 1978: 247",ɵɵsitt,ͻːšitt,ͻːʃɪtː,medal,,Dorji 1998: 511,ɔɔʃɪkta,ɔːšekta,ʊɔːʃekta,,,Hu 1986: 190,oosikta,oːsikta,oːʃɪkta,,,Tsumagari 1992: 99,ōsīkta,oːsiːkta,oːsiːkta,,,Vasilevich 1958: 328,,ośikta,ośikta,,,,,ohikaːktə,ohikaːktə,,star-DIM(?),,,ohikta,ohikta,,,,,oːhikta,oːhikta,,,,ōsikta,oːsikta,oːsikta,,,Cincius 1982: 259,ōsíḳat,ọːsikat,oˁːsiˁqaˁt,,,Novikova 1980: 205
,unigəri (<Nivkh Fortescue 2016: 156),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unigəri ~ uneeri,unigəri ~ uneːri,uniɣəri ~ unɛːri,,"borrowing from Nivkh, see Fortescue 2016: 156",Ikegami 1997: 220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in,dolo,dolo,dolo,dolo,,,Kane 1989: 370,,,,,,,,,,,,,du ~ dula-,du ~ dula-,tu ~ tula-,,"suffix, dative-locative case ~ postposition with person-number marker",Zhang et al. 1989: 28-29; 48-49,do,do,do,,dative case marker,Sunik 1958: 71,do ~ du,do ~ du,do ~ du,,dative case marker,Sem 1976: 39-42,do ~ du,do ~ du,dwo ~ dwu,,DAT,Avrorin 1959: 180,dú ~ du,do ~ du,do ~ du,,dative case marker,Sunik 1985: 35,do ~ du,do ~ du,dɔ ~ du,,locative 1 case marker,Petrova 1967: 47,du,du,du,,DAT,Girfanova 2001: 98,do ~ du,do ~ du,dɔ ~ du,,DAT,"Avrorin, Lebedeva 1978: 178",dʊ ~ du,dụ ~ du,dʊ ~ du,,dative case marker,Hu and Chaoke 1986: 23,dʊ ~ du,dụ ~ du,dʊ ~ du,,dative case marker,Hu 1986: 58,dvv ~ duu,doː ~ duː,doː ~ duː,,,Janhunen 1991: 62,du ~ tu,du ~ tu,dʉ ~ tʉ,,dative case marker,Vasilevich 1948: 41,,-du,-du,,,,,-duː,-duː,,,,,-duː,-duː,,,,,-du,-du,,,,dū ~ tū,duː ~ tuː,duː ~ tuː,,dative case marker,Cincius 1982: 27,dú ~ du ~tú ~ tu,du ~ du ~ tu ~ tu,duˁ ~ du ~ tuˁ ~ tu,,dative case marker,Novikova 1960: 152-153
,də (< Mong. Pevnov 2013),,,,,,,de,də,də,,dative-locative particle,Norman 1978: 56,d,d,d,,dative case marker,Li 1986: 46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hard,taktak,,,,,,,,,,,,,,,,,,,taktak,taktak,thakhthakh,,maybe ideophone,Zhang et al. 1989: 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,kiŋkə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kiňkè,kiŋkə,kjiŋkə,stone,,"Avrorin, Lebedeva 1978: 196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,maŋga,,,,,,,mangga,maŋga,maŋɢa,,solid,Norman 1978: 193,maŋ,maŋ,mɑŋ,,,Li 1986: 162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maŋahi,maŋi,maŋi,tight,,Girfanova 2001: 204,,,,,,,,,,,,,,,,,,,,,,,,,manga,maŋa,maŋa,,,Vasilevich 1958: 246,,,,,,,,maŋapču,maŋapt͡ʃu,,hard-ATR,,,,,,,,,,,,,,,,,,,,maŋ,maŋ,maˁŋ,difficult,,Novikova 1980: 189
,koak-koak (bi),,,,,,,,,,,,,,,,,,,,,,,,,koak-koak (bi),koak-koak (bi),qoaq-qoaq (bji),,ideophone; lit. hard (is),Sunik 1958: 178,ḳoaḥ-ḳoaḥ b'ī ~ ḳoḥ-ḳoḥ b'ī ~ toaḥ-toaḥ b'ī ~ toḥ-toḥ b'ī ,koah-koah biː ~ koh-koh biː ~ toah-toah biː ~ toh-toh biː ,qoaχ-qoaχ bjiː ~ qoχ-qoχ bjiː ~ toaχ-toaχ bjiː ~ toχ-toχ bjiː ,,ideophone; hard is,"Sem 1976: 164, 189",koah-koah bī,koah-koah biː,qwoaχ-qwoaχ biː,,ideopohone + 'be',Onenko 1980: 222,kvax-kvax bi,kwax-kwax bi,kwax-kwax bji,,ideophone; lit. hard is,Sunik 1985: 204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dəŋ-dəŋ (bi),,,,,,,,,,,,,,,,,,,,,,,,,dèŋ-dèŋ (bi),dəŋ-dəŋ (bi),dəŋ-dəŋ (bji),,ideophone; lit. hard (is),Sunik 1958: 172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dôŋtăr,doŋter,doŋter,,,Novikova 1980: 171
,čakčaŋ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,čakčaŋ,čakčaŋ,ʧɑqʧɑŋ,,,Ikegami 1997: 28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,fili,,,,,,,fili,fili,fjilji,,solid,Norman 1978: 88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,gaŋgan,,,,,,,ganggan,gaŋgan,ɢaŋɢan,,solid,Norman 1978: 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,kəl-kəl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kəl-kəl,/kəl.kəl/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,kataŋ,,,,,,,katang seme,kataŋ səmə,qataŋ səmə,,solid,Norman 1978: 173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hat,hat,xat,,,Dorji 1998: 261,katan,katan,katan,,,Hu 1986: 205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,katan,katan,katan,bright,,Cincius 1982: 230,,,,,,
,kajkiː,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kajkiː,kajkiː,"about a person, too ('assertive')",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crush / grind (v.),moso-,,,,,,,,,,,,,,,,,,,moʣolo-,mosolo-,mɔʣɔlo-,,,An 1986: 99,mosola-,mosola-,mosola-,,,Sunik 1958: 182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,cika-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cika-,cika-,ʦika-,gnaw,,Girfanova 2001: 351,čikka-,čikka-,ʧikːa-,,,"Avrorin, Lebedeva 1978: 253",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,čilḳa-,čilka-,ʧilqaˁ-,,,Novikova 1980: 234
